FID,name,descriptio,riders_15,lexington,riders_17,POINT_X,POINT_Y
271,23 St,CE,7844508.000000000000000,0,7844508.000000000000000,-73.998498900000001,40.745273699999998
272,23 St,FM,8942154.000000000000000,0,8942154.000000000000000,-73.992769699999997,40.742883900000002
273,23 St,NR,7965410.000000000000000,0,7965410.000000000000000,-73.989100500000006,40.741339400000001
274,28 St,1,4665377.000000000000000,0,4665377.000000000000000,-73.993392000000000,40.747240699999999
275,28 St,6,7214293.000000000000000,1,6276434.910000000100000,-73.984079399999999,40.743322800000001
276,28 St,NR,4083143.000000000000000,0,4083143.000000000000000,-73.988821500000000,40.745306200000002
277,3 Av,L,2386533.000000000000000,0,2386533.000000000000000,-73.987190699999999,40.733275100000000
278,33 St,6,9701723.000000000000000,1,8440499.009999999800000,-73.981847799999997,40.746444099999998
279,34 St-Herald Square,BDFMNQR,39541865.000000000000000,0,39541865.000000000000000,-73.987791500000000,40.749792900000003
280,34 St-Penn Station,123,28309160.000000000000000,0,28309160.000000000000000,-73.990602499999994,40.751012099999997
281,34 St-Penn Station,ACE,26147434.000000000000000,0,26147434.000000000000000,-73.993456399999999,40.752247400000002
282,42 St-Bryant Pk,BDFM,16220605.000000000000000,0,16220605.000000000000000,-73.984100799999993,40.754864499999996
283,5 Av,7,16220605.000000000000000,0,16220605.000000000000000,-73.980903600000005,40.753466600000003
284,47-50 Sts-Rockefeller Center,BDFM,18469446.000000000000000,0,18469446.000000000000000,-73.981332800000004,40.758700400000002
285,49 St,NQR,8029988.000000000000000,0,8029988.000000000000000,-73.984186600000001,40.759886899999998
286,5 Av-53 St,EM,7597212.000000000000000,0,7597212.000000000000000,-73.975882499999997,40.760407000000001
287,5 Av-57 St,NQR,6017047.000000000000000,0,6017047.000000000000000,-73.973286200000004,40.764811399999999
288,50 St,1,8266677.000000000000000,0,8266677.000000000000000,-73.984079399999999,40.761414700000003
289,50 St,CE,6826275.000000000000000,0,6826275.000000000000000,-73.986117800000002,40.762276000000000
